price_billion,area_m2,bedrooms_num,district,direction,furniture_std,legal_std,floors_num,frontage_m,road_width_m
9.8,44.0,4.0,Hà Đông,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.0,3.0
8.4,31.0,3.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.6,2.0
15.2,75.0,17.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,4.5,3.3
5.1,31.3,4.0,Hoài Đức,Đông,Đầy đủ,Sổ đỏ/Sổ hồng,4.0,3.2,3.5
8.7,85.0,2.0,Khác,Đông - Nam,Cơ bản,Sổ đỏ/Sổ hồng,1.0,4.5,3.0
11.5,43.0,3.0,Hai Bà Trưng,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,5.3,3.0
10.95,50.0,4.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,6.0,5.0
16.6,63.3,14.0,Hoàng Mai,Tây - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.25,4.0
25.0,72.9,6.0,Hai Bà Trưng,Đông,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,8.5,3.0
15.0,70.0,4.0,Đống Đa,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,4.0,6.0,3.3
5.6,25.0,3.0,Hoàng Mai,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.25,4.0
11.9,58.0,3.0,Long Biên,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,3.0,5.0,5.0
13.0,72.0,5.0,Cầu Giấy,Không rõ,Không rõ,Không rõ,6.0,4.8,6.0
16.3,83.0,5.0,Cầu Giấy,Không rõ,Không rõ,Không rõ,8.0,4.8,6.0
10.0,48.0,3.0,Thanh Xuân,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,20.0
52.0,120.0,4.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,9.0,10.0,10.0
