price_billion,area_m2,bedrooms_num,district,direction,balcony_direction,furniture_std,legal_std
10.8,84.3,2.0,Bắc Từ Liêm,Tây - Nam,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
16.89,76.4,2.0,Tây Hồ,Nam,Bắc,Đầy đủ,HĐMB
7.85,81.3,3.0,Hà Đông,Không rõ,Không rõ,Cơ bản,HĐMB
4.76,56.0,2.0,Hoài Đức,Bắc,Nam,Cơ bản,HĐMB
4.0,64.0,2.0,Khác,Không rõ,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng
5.6,70.0,2.0,Khác,Đông - Nam,Đông - Nam,Không rõ,HĐMB
11.2,75.0,2.0,Cầu Giấy,Đông - Nam,Tây - Bắc,Cơ bản,HĐMB
7.3,70.0,2.0,Hoàng Mai,Không rõ,Không rõ,Không rõ,Không rõ
2.7,28.0,2.0,Hoài Đức,Không rõ,Không rõ,Không rõ,Không rõ
5.2,56.0,2.0,Hoài Đức,Không rõ,Đông,Không rõ,Không rõ
9.0,98.0,3.0,Hoài Đức,Không rõ,Không rõ,Không rõ,Không rõ
6.2,98.8,3.0,Khác,Không rõ,Đông - Nam,Đầy đủ,HĐMB
5.6,93.0,3.0,Gia Lâm,Không rõ,Không rõ,Đầy đủ,Không rõ
9.0,75.0,2.0,Nam Từ Liêm,Không rõ,Không rõ,Cơ bản,HĐMB
6.0,65.0,2.0,Khác,Tây,Đông,Không rõ,Không rõ
9.0,60.4,2.0,Khác,Không rõ,Không rõ,Không rõ,HĐMB
3.62,48.0,1.0,Gia Lâm,Đông - Nam,Đông - Nam,Không rõ,HĐMB
16.0,135.0,3.0,Hà Đông,Đông - Bắc,Không rõ,Cơ bản,HĐMB
6.5,85.0,2.0,Long Biên,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
6.75,71.0,2.0,Nam Từ Liêm,Không rõ,Tây - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
9.5,116.0,3.0,Hoài Đức,Đông,Nam,Cơ bản,HĐMB
8.95,112.0,3.0,Cầu Giấy,Tây - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
10.8,75.3,2.0,Cầu Giấy,Bắc,Tây - Nam,Không nội thất,HĐMB
8.7,54.0,2.0,Cầu Giấy,Bắc,Đông - Nam,Không nội thất,HĐMB
20.0,125.0,3.0,Tây Hồ,Không rõ,Không rõ,Không rõ,Sổ đỏ/Sổ hồng
7.5,90.0,3.0,Hà Đông,Không rõ,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng
3.68,55.0,2.0,Gia Lâm,Đông - Bắc,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
12.0,103.0,3.0,Khác,Nam,Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
10.5,95.0,2.0,Hoàng Mai,Đông - Bắc,Đông - Bắc,Cơ bản,Sổ đỏ/Sổ hồng
6.9,61.0,2.0,Hoàng Mai,Đông,Đông,Cơ bản,Sổ đỏ/Sổ hồng
8.0,70.0,2.0,Hoàng Mai,Không rõ,Đông - Nam,Cơ bản,Không rõ
9.0,93.0,3.0,Thanh Xuân,Tây - Bắc,Đông - Nam,Không rõ,Sổ đỏ/Sổ hồng
7.6,85.0,3.0,Hoàng Mai,Không rõ,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng
3.4,55.0,2.0,Gia Lâm,Đông - Bắc,Tây - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
11.5,99.0,3.0,Bắc Từ Liêm,Không rõ,Không rõ,Không rõ,Không rõ
6.3,70.0,2.0,Hà Đông,Tây - Bắc,Đông - Nam,Cơ bản,HĐMB
24.0,186.0,4.0,Hoàng Mai,Không rõ,Không rõ,Không rõ,Sổ đỏ/Sổ hồng
